date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:54:32	1144/1144	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:52%20GMT	https://inspirothemes.com/robots.txt		(from )
07:54:33	50447/50447	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/index.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/index.html	(from )
07:55:35	36709/36709	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-topbar.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-topbar.html	(from https://inspirothemes.com/polo/index.html)
07:55:39	255/255	U-----	200	untouched ('')	image/png	etag:%22ff-5de95180-c405155332383656;;;%22	https://inspirothemes.com/polo/images/favicon.png	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/images/favicon.png	(from https://inspirothemes.com/polo/index.html)
07:55:41	225752/225752	U-----	200	untouched ('OK')	text/css	etag:W/%22370b6-5de7cb25-be311ba0ac722e4a;gz%22	https://inspirothemes.com/polo/css/plugins.css	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/css/plugins.css	(from https://inspirothemes.com/polo/index.html)
07:55:41	358142/358142	U-----	200	untouched ('OK')	text/css	etag:W/%22672bb-5de9112c-b6cb54480666c12c;gz%22	https://inspirothemes.com/polo/css/style.css	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/css/style.css	(from https://inspirothemes.com/polo/index.html)
07:56:34	36678/36678	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-topbar-dark.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-topbar-dark.html	(from https://inspirothemes.com/polo/index.html)
07:56:34	36743/36743	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-topbar-transparent.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-topbar-transparent.html	(from https://inspirothemes.com/polo/index.html)
07:56:34	36708/36708	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-topbar-colored.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-topbar-colored.html	(from https://inspirothemes.com/polo/index.html)
07:56:34	36712/36712	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-topbar-fullwidth.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-topbar-fullwidth.html	(from https://inspirothemes.com/polo/index.html)
07:56:35	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:52%20GMT	https://inspirothemes.com/images/overlay-pattern/gplay.png	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/images/overlay-pattern/gplay.178.delayed	(from https://inspirothemes.com/polo/css/style.css)
07:56:56	32109/32109	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header.html	(from https://inspirothemes.com/polo/index.html)
07:56:56	35513/35513	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-dark.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-dark.html	(from https://inspirothemes.com/polo/index.html)
07:56:56	35573/35573	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-transparent.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-transparent.html	(from https://inspirothemes.com/polo/index.html)
07:56:56	34629/34629	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-fullwidth.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-fullwidth.html	(from https://inspirothemes.com/polo/index.html)
07:56:56	34580/34580	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-modern.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-modern.html	(from https://inspirothemes.com/polo/index.html)
07:56:57	34584/34584	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-modern-dark.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-modern-dark.html	(from https://inspirothemes.com/polo/index.html)
07:56:57	34627/34627	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-modern-transparent.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-modern-transparent.html	(from https://inspirothemes.com/polo/index.html)
07:56:57	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:52%20GMT	https://inspirothemes.com/images/overlay-pattern/3px-tile.png	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/images/overlay-pattern/3px-tile.179.delayed	(from https://inspirothemes.com/polo/css/style.css)
07:56:57	35546/35546	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-mini.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-mini.html	(from https://inspirothemes.com/polo/index.html)
07:56:58	35626/35626	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-alternative.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-alternative.html	(from https://inspirothemes.com/polo/index.html)
07:56:58	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:52%20GMT	https://inspirothemes.com/images/overlay-pattern/asfalt-dark.png	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/images/overlay-pattern/asfalt-dark.png	(from https://inspirothemes.com/polo/css/style.css)
07:57:59	35527/35527	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-always-fixed.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-always-fixed.html	(from https://inspirothemes.com/polo/index.html)
07:57:59	35529/35529	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-disable-fixed.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-disable-fixed.html	(from https://inspirothemes.com/polo/index.html)
07:57:59	35570/35570	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-responsive-fixed.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-responsive-fixed.html	(from https://inspirothemes.com/polo/index.html)
07:57:59	35552/35552	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-logo.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-logo.html	(from https://inspirothemes.com/polo/index.html)
07:58:00	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:52%20GMT	https://inspirothemes.com/images/overlay-pattern/axiom-pattern.png	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/images/overlay-pattern/axiom-pattern.17b.delayed	(from https://inspirothemes.com/polo/css/style.css)
07:58:19	35557/35557	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-logo-right.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-logo-right.html	(from https://inspirothemes.com/polo/index.html)
07:58:19	35607/35607	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-logo-fixed-header.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-logo-fixed-header.html	(from https://inspirothemes.com/polo/index.html)
07:58:19	34690/34690	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-logo-center.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-logo-center.html	(from https://inspirothemes.com/polo/index.html)
07:58:19	35593/35593	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-logo-responsive.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-logo-responsive.html	(from https://inspirothemes.com/polo/index.html)
07:58:20	2316/2316	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202019%2007:06:52%20GMT	https://inspirothemes.com/polo/preview/images/new-badge.png	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/preview/images/new-badge.17d.delayed	(from https://inspirothemes.com/polo/css/style.css)
07:59:22	35571/35571	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-menu-right.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-menu-right.html	(from https://inspirothemes.com/polo/index.html)
07:59:22	35570/35570	U-----	200	untouched ('OK')	text/html	date:Sat,%2014%20Dec%202019%2014:59:57%20GMT	https://inspirothemes.com/polo/header-menu-left.html	C:/My%20Web%20Sites/POLO%20FARC%20Template/inspirothemes.com/polo/header-menu-left.html	(from https://inspirothemes.com/polo/index.html)
